Designator,Part,Value,Quantity,Digi-key Part Number,Datasheet,Source,,,
"R1, R2",,5.1k,2,311-5.10KLRCT-ND ,,,,,
"R3, R4",,100k,2,311-100KLRCT-ND ,,,,,
R5,,10k,3,311-10KJRCT-ND ,,,,,
C1,,1uF,1,490-12701-2-ND,,,,,
C2,,10uF,1,490-6473-1-ND,http://psearch.en.murata.com/capacitor/product/GRM21BR61C106KE15%23.html,,,,
"C3, C4, C5, C6",,0.1uF,4,490-6322-2-ND,,,,,
D1,BAT54C,Common cathode diode array,1,BAT54C-FDITR-ND,https://www.diodes.com/assets/Datasheets/ds11005.pdf,,,,
U1,MIC5245-3.3,3.3V regulator,1,576-2790-1-ND,http://ww1.microchip.com/downloads/en/DeviceDoc/mic5245.pdf,,,,
U2,ATXMEGA32A4U,,1,ATXMEGA32A4U-MH-ND,http://www.atmel.com/images/Atmel-8387-8-and16-bit-AVR-Microcontroller-XMEGA-A4U_Datasheet.pdf,,,,
J1,,USB Type-C Receptacle,1,,http://www.dory-tech.com/UploadFiles/2017/0/2017080810353867631.pdf,http://www.dory-tech.com/html/113.html,https://www.aliexpress.com/item/New-Type-C-Connector-16-Pin-Female-Right-Angle-SMT-Tab-USB-3-1-Version-Socket/32818224653.html,https://www.aliexpress.com/item/2pcs-lot-USB3-1-Type-C-Female-socket-Mobile-phone-Tablet-PC-Charging-socket-Connector-Four/32818154032.html,https://www.aliexpress.com/item/20pcs-USB-3-1-Type-C-Connector-24-Pin-Receptacle-Right-Angle-Type-C-PCB-SMT/32844935201.html
